file,format,category,bytes,rows,generated_date,source_script,description,caveat
bus_factor.csv,csv,sustainability,2714,76,2026-07-18,scripts/bus_factor.py,Repository-level contributor concentration and bus-factor indicators.,Computed from committed contributor snapshots; merged identities depend on the maintainer-reviewed map.
commits.csv,csv,github snapshot,1320523,9877,2026-07-18,observatory/fetch.py; observatory/transform.py,"Slim commit snapshot by repository, SHA, date, author, and subject.",Author names/emails reflect Git metadata in the snapshot and should not be treated as a curated identity authority.
contributor_identity.csv,csv,sustainability,1126,19,2026-07-18,scripts/contributor_identity.py,Maintainer-reviewed contributor identity and ORCID readiness summary.,Identity fields are conservative; unknown or unconfirmed identities remain unresolved until the maintainer confirms them.
contributors.csv,csv,github snapshot,5935,209,2026-07-18,observatory/fetch.py; observatory/transform.py,Repository/login contribution counts from the GitHub snapshot.,"Counts are GitHub contribution signals, not a complete scholarly credit model."
correction_events.csv,csv,obs-t,11177839,24441,2026-07-18,scripts/build_correction_events.py,Base OBS-T correction-event table before later component and release enrichments.,Intermediate research artifact; cite the release table for stable OBS-T reuse.
correction_events.meta.json,json,obs-t,2734,,2026-07-18,scripts/build_correction_events.py,Metadata sidecar for the base OBS-T correction-event table.,Sidecar describes the local generated artifact and should be read with the matching CSV.
correction_events_all.csv,csv,obs-t,57715668,52498,2026-07-18,scripts/build_correction_events.py,Combined OBS-T event table across form and git-derived correction layers.,Intermediate aggregate; use the release CSV for the citable public dataset.
correction_events_final.csv,csv,obs-t,61169748,52498,2026-07-18,scripts/obs_t_release.py,Final typed OBS-T event table before release split annotation.,Intermediate artifact retained for auditability; release-specific consumers should use correction_events_release.csv.
correction_events_final.meta.json,json,obs-t,4374,,2026-07-18,scripts/obs_t_release.py,Metadata sidecar for correction_events_final.csv.,Sidecar describes the generated final table and should be read with the matching CSV.
correction_events_git.csv,csv,obs-t,46538095,28057,2026-07-18,scripts/reconstruct_git_events.py,Git-derived OBS-T correction events mined from dictionary entry files.,Git reconstruction is conservative and should be audited through source_path and commit_sha.
correction_events_git.meta.json,json,obs-t,3058,,2026-07-18,scripts/reconstruct_git_events.py,Metadata sidecar for git-derived OBS-T correction events.,Sidecar reports reconstruction scope and hunk accounting for the matching CSV.
correction_events_release.csv,csv,obs-t release,61458537,52498,2026-07-18,scripts/obs_t_release.py,Citable OBS-T release table with typed correction events and split labels.,Released identity fields use the repository identity policy; raw private contact data is not a release interface.
correction_events_release.meta.json,json,obs-t release,1275,,2026-07-18,scripts/obs_t_release.py,Metadata sidecar for the citable OBS-T release table.,"Read with correction_events_release.csv for schema, counts, and release caveats."
correction_events_typed.csv,csv,obs-t,58958976,52498,2026-07-18,scripts/attribute_components.py,OBS-T correction events with component and attribution-route annotations.,Intermediate table; component attribution includes conservative and fuzzy routes that require caveat-aware interpretation.
